Page URL,Page Title,Page Type,Template Used,Inbound Links,Outbound Links,Human Identified Issues,Issue Severity,Issue Type,Detected By,Fix Status,PR Link,Last Reviewed Date,Video Embed Working,Audio Embed Working,Image Assets Loaded,Mobile Responsive,Screenshot Path
index.html,Asabaal Ventures - Choose Your Experience,Entry Point,Mode Selection,66,7,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/index.png
amusements.html,Amusements | Asabaal Ventures,Content Hub,Standard Template,8,8,Missing H1 tag - Critical SEO and accessibility issue; Footer element referenced but no .footer CSS defined - May cause layout issues,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/amusements.png
blog-listing.html,Demos/Previews | Asabaal's Amusements,Content Hub,Blog Template,26,7,Missing image files: ${post.image},,,Automated Scan,,,2026-02-07,N/A,N/A,No,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog-listing.png
blog.html,Redirecting to Asabaal's Amusements...,Content Hub,Standard Template,0,0,Missing viewport meta tag - Not mobile responsive; This is a redirect page - Consider updating navigation to point directly to destination,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,No,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog.png
blogs-selection.html,Blogs | Asabaal Ventures,Content Hub,Standard Template,0,9,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blogs-selection.png
games.html,Tic Tac Toe | Asabaal Ventures,Content Hub,Game Template,1,8,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/games.png
games_temp.html,,Content Hub,Standard Template,0,0,Missing H1 tag - Critical SEO and accessibility issue; Missing title tag - Critical for SEO,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,No,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/games_temp.png
shows.html,Shows | Asabaal Ventures,Content Hub,Standard Template,0,10,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/shows.png
connect.html,Connect - Join Our Discord Community | Asabaal Ventures,Utility Page,Supabase Integrated,64,6,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/connect.png
links.html,Connect with Asabaal - All Links,Utility Page,Standard Template,35,2,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/links.png
privacy.html,Privacy Policy - Asabaal Ventures,Utility Page,Supabase Integrated,2,5,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/privacy.png
terms.html,Terms of Service - Asabaal Ventures,Utility Page,Supabase Integrated,1,5,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/terms.png
brands.html,Our Brands | Asabaal Ventures,About Page,Standard Template,19,11,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/brands.png
acts-of-asabaal.html,Acts of Asabaal | Asabaal Ventures,About Page,Standard Template,1,9,Missing H1 tag - Critical SEO and accessibility issue,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/acts-of-asabaal.png
