Page URL,Page Title,Page Type,Template Used,Inbound Links,Outbound Links,Agent Identified Issues,Human Identified Issues,Issue Severity,Issue Type,Detected By,Fix Status,PR Link,Last Reviewed Date,Video Embed Working,Audio Embed Working,Image Assets Loaded,Mobile Responsive
amusements.html,Amusements | Asabaal Ventures,Content Hub,Standard Template,7,8,Missing H1 tag - Critical SEO and accessibility issue; Footer element referenced but no .footer CSS defined - May cause layout issues; 3 images missing alt tags,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
blog-listing.html,Demos/Previews | Asabaal's Amusements,Content Hub,Blog Template,26,7,,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
blog.html,Redirecting to Asabaal's Amusements...,Content Hub,Standard Template,0,0,This is a redirect page - consider updating navigation to point directly to destination; Missing viewport meta tag - Not mobile responsive,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,No
blog/post-asabaal-ventures-dawn-new-era.html,Asabaal Ventures: The Dawn of a New Era | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
blog/post-by-my-hand-discarding-hurt-for-unity.html,By My Hand: Discarding Hurt for Unity | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
blog/post-charting-the-course-for-a-more-fulfilling-future.html,Charting the Course for a More Fulfilling Future | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,N/A,N/A,No,Yes
blog/post-collaborative-business-models-ethical-advertising.html,Collaborative Business Models & Ethical Advertising | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,N/A,N/A,No,Yes
blog/post-electric-pulse-journey-self-discovery-transformation.html,Electric Pulse: A Journey of Self-Discovery and Transformation | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
blog/post-embracing-the-age-of-creativity.html,Embracing the Age of Creativity | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,N/A,N/A,No,Yes
blog/post-ethical-advocacy-future-education.html,Ethical Advocacy & The Future of Education | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,N/A,N/A,No,Yes
blog/post-free-as-a-bird-spiritual-journey-self-discovery-liberation.html,Free As A Bird: A Spiritual Journey of Self-Discovery and Liberation | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
blog/post-human-creativity-ai-ethical-social-platforms.html,Human Creativity with AI & Ethical Social Platforms | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,N/A,N/A,No,Yes
blog/post-keep-it-simple-simple-indeed.html,Keep It Simple - Simple Indeed | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
blog/post-logical-fallacies-lets-start-thinking-together.html,Logical Fallacies - Let's Start Thinking Together | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
blog/post-microaggression-becoming-cognizant-of-our-actions.html,Microaggression: Becoming Cognizant of Our Actions | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
blog/post-more-than-me-how-my-beliefs-evolved.html,"""More Than Me"": How My Beliefs Evolved | Asabaal Ventures Blog",Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
blog/post-no-fighting-the-evil-inside-yourself.html,No - Fighting the Evil Inside of Yourself | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
blog/post-omniscient-what-does-that-actually-mean.html,Omniscient - What Does That Actually Mean? | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
blog/post-power-of-pain-you-already-feel-it-leverage-it.html,Power of Pain - You Already Feel It; Leverage It | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
blog/post-probably-right-accepting-criticism-with-humility.html,"Probably Right: You're Probably Right, And So Am I, Even When It Hurts | Asabaal Ventures Blog",Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
blog/post-respect-the-fundamental-human-right.html,Respect: The Fundamental Human Right | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,N/A,N/A,No,Yes
